AvgSpotLen_l	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	Assay_Type_s	BioProject_s	BioSample_s	BioSampleModel_s	Center_Name_s	Consent_s	Experiment_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Sample_s	SRA_Study_s	Sample_Name_s	age_s	biomaterial_provider_s	isolate_s	isolation_source_s	sex_s	tissue_s
8734	2017-02-03	1361	5017	2016-05-19	SRR3085752	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
8082	2017-02-03	1260	4673	2016-05-19	SRR3085753	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
8135	2017-02-03	1268	4751	2016-05-19	SRR3085754	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
5360	2017-02-03	835	3144	2016-05-19	SRR3085755	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
5272	2017-02-03	821	3055	2016-05-19	SRR3085756	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
4592	2017-02-03	716	2598	2016-05-19	SRR3085757	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
5824	2017-02-03	908	3304	2016-05-19	SRR3085758	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
6636	2017-02-03	1034	3770	2016-05-19	SRR3085759	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
5139	2017-02-03	801	2990	2016-05-19	SRR3085760	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
5057	2017-02-03	788	2864	2016-05-19	SRR3085761	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
4549	2017-02-03	709	2657	2016-05-19	SRR3085762	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
5371	2017-02-03	837	3265	2016-05-19	SRR3085763	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
5189	2017-02-03	809	3126	2016-05-19	SRR3085764	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
4703	2017-02-03	733	2884	2016-05-19	SRR3085765	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
4922	2017-02-03	767	2982	2016-05-19	SRR3085766	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
7771	2017-02-03	1211	4445	2016-05-19	SRR3085767	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
6931	2017-02-03	1080	4016	2016-05-19	SRR3085768	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
7841	2017-02-03	1222	4531	2016-05-19	SRR3085769	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
7495	2017-02-03	1168	4309	2016-05-19	SRR3085770	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
6489	2017-02-03	1011	3746	2016-05-19	SRR3085771	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
6134	2017-02-03	956	3579	2016-05-19	SRR3085772	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
6240	2017-02-03	972	3595	2016-05-19	SRR3085773	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
6034	2017-02-03	940	3494	2016-05-19	SRR3085774	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
8250	2017-01-24	1286	4706	2016-05-19	SRR3085775	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
7737	2017-01-24	1206	4362	2016-05-19	SRR3085776	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
6824	2017-01-24	1063	3894	2016-05-19	SRR3085777	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
9275	2017-01-24	1446	5219	2016-05-19	SRR3085778	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
9858	2017-01-24	1536	5509	2016-05-19	SRR3085779	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
8633	2017-01-24	1346	4837	2016-05-19	SRR3085780	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
10861	2017-01-24	1693	5939	2016-05-19	SRR3085781	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
10821	2017-01-24	1687	5866	2016-05-19	SRR3085782	OTHER	PRJNA301527	SAMN04251426	Human	UNIVERSITY OF SOUTHERN CALIFORNIA	public	SRX1424851	0	SINGLE	size fractionation	GENOMIC	Homo sapiens	PACBIO_SMRT	SRS1156159	SRP065930	HX1	30~40	Jinan University	HX1	healthy Chinese individual	male	Blood
